iter	Logloss
0	0.6849468608
1	0.6772597556
2	0.6693315909
3	0.6618169097
4	0.6538950771
5	0.6470420652
6	0.640896343
7	0.6345819476
8	0.6280503981
9	0.6217562454
10	0.615861867
11	0.6093842967
12	0.6042661279
13	0.5984708318
14	0.5925049128
15	0.5864911679
16	0.5815856075
17	0.5756062604
18	0.5705263054
19	0.5659101781
20	0.5623529866
21	0.5572203952
22	0.552653533
23	0.5482143573
24	0.5435163948
25	0.5384086215
26	0.5342373232
27	0.5305702529
28	0.5272465485
29	0.5231319619
30	0.5214455749
31	0.5174132022
32	0.5129768677
33	0.5099317977
34	0.505419712
35	0.5015857327
36	0.4979881742
37	0.4946138811
38	0.4910951227
39	0.4875631648
40	0.4848400911
41	0.4818592569
42	0.4784191965
43	0.4751200018
44	0.4726164974
45	0.4696276907
46	0.4667021556
47	0.4636273144
48	0.4603919756
49	0.4570464521
50	0.455604964
51	0.4529054693
52	0.4503522106
53	0.4475482225
54	0.4452764731
55	0.4427930517
56	0.4399240869
57	0.4373348117
58	0.4342020415
59	0.4324497218
60	0.4304171871
61	0.4286000547
62	0.4262242274
63	0.4240249348
64	0.4220527436
65	0.4201884231
66	0.418440467
67	0.4162822173
68	0.4144114081
69	0.4123265823
70	0.4109795567
71	0.4089897725
72	0.4072269238
73	0.4054745744
74	0.40391704
75	0.4018724606
76	0.4005398269
77	0.3990523699
78	0.3969554103
79	0.3951083169
80	0.3929228278
81	0.3909621507
82	0.3894974383
83	0.3881629493
84	0.3868899909
85	0.3850876173
86	0.3836259522
87	0.382252084
88	0.3808458471
89	0.3796809937
90	0.3782476471
91	0.3768222446
92	0.3754483965
93	0.3742289804
94	0.3730698813
95	0.3717291166
96	0.3705329059
97	0.3694614753
98	0.3680392144
99	0.367184294
100	0.3660164357
101	0.3648455259
102	0.3634736336
103	0.3622244671
104	0.3613365111
105	0.3605257614
106	0.3590637179
107	0.3581903678
108	0.3570582534
109	0.3562314832
110	0.356013471
111	0.3547226568
112	0.3538180424
113	0.3523720395
114	0.351149859
115	0.3505405445
116	0.34951472
117	0.3486993689
118	0.3475272797
119	0.3464341157
120	0.3454596891
121	0.3440879661
122	0.3429448102
123	0.3423776594
124	0.3413911162
125	0.3404978404
126	0.3396137418
127	0.3384853773
128	0.337820956
129	0.3368884112
130	0.3359586936
131	0.3352175499
132	0.3342620326
133	0.3332541944
134	0.332347799
135	0.3314762207
136	0.3305713823
137	0.3298907055
138	0.3287911932
139	0.3277616858
140	0.3269310458
141	0.3259401791
142	0.3249529921
143	0.3242607241
144	0.3234939313
145	0.3225597561
146	0.3218100567
147	0.3209858576
148	0.320139627
149	0.319370822
150	0.3185654977
151	0.3176198993
152	0.3167132172
153	0.3161050301
154	0.3150066987
155	0.3141069853
156	0.313541515
157	0.3128398512
158	0.3118640582
159	0.3112398467
160	0.3106107843
161	0.3099428111
162	0.3093372663
163	0.3088187765
164	0.3082903367
165	0.307466918
166	0.3068724995
167	0.3059797519
168	0.3054573276
169	0.3050055411
170	0.3042992981
171	0.3036264471
172	0.3031493386
173	0.3023912955
174	0.3020288922
175	0.301823684
176	0.3013491815
177	0.3009534758
178	0.3002129402
179	0.2996328835
180	0.2991745049
181	0.2986119961
182	0.2980365174
183	0.2973881306
184	0.2965674403
185	0.2960988226
186	0.2957546201
187	0.2951369723
188	0.29464581
189	0.2939403232
190	0.2929516174
191	0.2925155823
192	0.2915743866
193	0.291185472
194	0.2907969592
195	0.2903369663
196	0.2897623306
197	0.28939934
198	0.2888644523
199	0.2883440948
200	0.2878366728
201	0.2873580364
202	0.2868298505
203	0.2862260623
204	0.2860465297
205	0.2855133447
206	0.2851352425
207	0.2845846928
208	0.2841003848
209	0.2836442453
210	0.2832129848
211	0.2829123245
212	0.2822560308
213	0.2819174444
214	0.281465407
215	0.2809418746
216	0.2805688135
217	0.2800654561
218	0.2795127216
219	0.2788510299
220	0.2784785563
221	0.2780734621
222	0.2774447896
223	0.2766101368
224	0.2760718446
225	0.2755148378
226	0.2748381246
227	0.2744022672
228	0.2739527095
229	0.2734828688
230	0.2730514813
231	0.2727402805
232	0.2725074016
233	0.2721732357
234	0.271509921
235	0.2711256885
236	0.2707000153
237	0.2702265591
238	0.2701006393
239	0.2696919757
240	0.2694780202
241	0.2690015008
242	0.2684698643
243	0.2680212753
244	0.2677522282
245	0.2673612519
246	0.267264727
247	0.2669406893
248	0.2665521234
249	0.2660509346
250	0.2655633156
251	0.2650702214
252	0.2645829221
253	0.264337086
254	0.2638849784
255	0.2635761114
256	0.2629139996
257	0.2625798518
258	0.2618377761
259	0.2615316336
260	0.2611750594
261	0.2604697445
262	0.2602056745
263	0.2600593284
264	0.259630283
265	0.2591384643
266	0.2588529704
267	0.2586995803
268	0.2584499515
269	0.258087483
270	0.2575511748
271	0.2573153383
272	0.2570706021
273	0.2565780744
274	0.2562709073
275	0.2559594845
276	0.2555930809
277	0.2552588115
278	0.2549227118
279	0.2547210581
280	0.2541814302
281	0.2539948481
282	0.2536761622
283	0.2534812301
284	0.2534151019
285	0.2529871847
286	0.252761906
287	0.2525574481
288	0.2522189862
289	0.2519712363
290	0.2515620683
291	0.2514749772
292	0.2510203617
293	0.2505504086
294	0.2501932409
295	0.2500536751
296	0.2496128428
297	0.2493380206
298	0.2490957723
299	0.2489504238
300	0.248893172
301	0.2487422836
302	0.2481806784
303	0.2477681198
304	0.2476469401
305	0.2473661283
306	0.2470362099
307	0.2468107232
308	0.2465976989
309	0.2465741856
310	0.2462043238
311	0.2457779406
312	0.2454184927
313	0.2450120819
314	0.2446526756
315	0.2442850022
316	0.2438091491
317	0.2435648588
318	0.2432371114
319	0.2428566578
320	0.2426064503
321	0.2424032919
322	0.2422575068
323	0.2419846731
324	0.2417034664
325	0.2413540221
326	0.2411796052
327	0.2408107645
328	0.2404579571
329	0.2399560499
330	0.2394929745
331	0.2394741777
332	0.2393530195
333	0.2388636665
334	0.2384889968
335	0.238065934
336	0.2378787033
337	0.2377360767
338	0.2374978349
339	0.2371178736
340	0.237048049
341	0.2368362107
342	0.2365035269
343	0.2363491929
344	0.236052425
345	0.2359870647
346	0.2357139936
347	0.2354355603
348	0.2351265962
349	0.2346851143
350	0.2343412468
351	0.234158861
352	0.2340777835
353	0.2336910454
354	0.2335708526
355	0.2333464823
356	0.2328819949
357	0.2327783562
358	0.2324922179
359	0.2322013161
360	0.2319610519
361	0.2316406158
362	0.2312516842
363	0.2310028115
364	0.2306782931
365	0.2304355795
366	0.2302129393
367	0.2299107589
368	0.2296552267
369	0.2295818565
370	0.2293786961
371	0.2293709039
372	0.2290911941
373	0.2290818383
374	0.228724638
375	0.2283135838
376	0.228014594
377	0.2279352768
378	0.2277852982
379	0.2274354749
380	0.22721298
381	0.22706049
382	0.2268737272
383	0.2267791502
384	0.2265414747
385	0.2264172118
386	0.2262330378
387	0.2259707205
388	0.2257606162
389	0.2256040033
390	0.2252056208
391	0.2250801065
392	0.2248749957
393	0.224524634
394	0.2243258582
395	0.2242217677
396	0.2239198724
397	0.2237160746
398	0.2235632276
399	0.2233173936
400	0.2230725659
401	0.2227859206
402	0.222451703
403	0.2222707516
404	0.22192346
405	0.2218350976
406	0.2215402179
407	0.2213747443
408	0.2210152588
409	0.2206676392
410	0.2205122392
411	0.2203462638
412	0.2199631047
413	0.2197958032
414	0.2196208038
415	0.219360727
416	0.2192678751
417	0.2192209657
418	0.2189202694
419	0.2187482085
420	0.2184529885
